,gaze_velocity_X,gaze_velocity_Y,gaze_velocity_Z,gaze_velocity_total, Timestamp, FixationPointX, FixationPointY, FixationPointZ, dt,Sub_Fixation,dt,FixationGroup,TimeElapsed,TotalFixationDuration,FixationPointX_avg,FixationPointY_avg,FixationPointZ_avg
142299,0.26108181818181914,0.023145454545453973,0.03186363636363921,0.26403545060001765,2023-12-07 12:57:20.864,-0.1375121,0.2418917,0.9604399,0.011000000000000001,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142300,0.26307499999999917,0.04554166666666711,0.025916666666662518,0.26824274946191606,2023-12-07 12:57:20.876,-0.1343552,0.2424382,0.9607509,0.012,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142301,0.24696363636363755,0.08032727272727383,0.015545454545457475,0.26016373611012295,2023-12-07 12:57:20.887,-0.1316386,0.2433218,0.9609219,0.011000000000000001,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142302,0.13076363636363691,0.05624545454545452,0.002499999999996192,0.14236899153982316,2023-12-07 12:57:20.898,-0.1302002,0.2439405,0.9609494,0.011000000000000001,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142303,0.1324545454545442,0.014818181818181496,0.013681818181823032,0.13398125716952747,2023-12-07 12:57:20.909,-0.1287432,0.2441035,0.9610999,0.011000000000000001,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142304,0.18028181818181957,0.02819090909090978,0.016336363636364076,0.18320245112763667,2023-12-07 12:57:20.920,-0.1267601,0.2444136,0.9612796,0.011000000000000001,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142305,0.11428181818181665,-0.057690909090910264,0.029727272727269653,0.1314240682009157,2023-12-07 12:57:20.931,-0.125503,0.243779,0.9616066,0.011000000000000001,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142306,-0.0010636363636366702,-0.05750909090908937,0.014109090909092906,0.0592240939633947,2023-12-07 12:57:20.942,-0.1255147,0.2431464,0.9617618,0.011000000000000001,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142307,0.15916153846153877,-0.01941538461538567,0.02392307692307309,0.1621162116960377,2023-12-07 12:57:20.955,-0.1234456,0.242894,0.9620728,0.013000000000000001,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142308,0.4041900000000001,0.04052999999999973,0.03935000000000466,0.4081184380789484,2023-12-07 12:57:20.965,-0.1194037,0.2432993,0.9624663,0.01,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142309,-0.009059999999999624,0.0931299999999996,-0.025980000000003223,0.09710942745171597,2023-12-07 12:57:20.975,-0.1194943,0.2442306,0.9622065,0.01,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142310,0.20623333333333327,0.051491666666667046,0.014250000000002686,0.21304140915298364,2023-12-07 12:57:20.987,-0.1170195,0.2448485,0.9623775,0.012,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142311,-0.038233333333332946,0.10631666666666613,-0.032508333333329066,0.11756620741097154,2023-12-07 12:57:20.999,-0.1174783,0.2461243,0.9619874,0.012,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142312,-0.032472727272727445,-0.018581818181817585,0.0024363636363630447,0.03749263729373616,2023-12-07 12:57:21.010,-0.1178355,0.2459199,0.9620142,0.011000000000000001,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142313,-0.10358000000000034,0.058169999999999056,-0.027250000000000885,0.12188161387182239,2023-12-07 12:57:21.020,-0.1188713,0.2465016,0.9617417,0.01,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142314,-0.0968909090909096,0.0026727272727284316,-0.013154545454545237,0.097816326866495,2023-12-07 12:57:21.031,-0.1199371,0.246531,0.961597,0.011000000000000001,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142315,0.04921666666666755,-0.022916666666666457,0.013241666666663487,0.05588197942986623,2023-12-07 12:57:21.043,-0.1193465,0.246256,0.9617559,0.012,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142316,1.4051599999999997,-1.1949500000000002,0.46266999999999836,1.901694943201984,2023-12-07 12:57:21.053,-0.1052949,0.2343065,0.9663826,0.01,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142317,4.513656470588234,-1.7130235294117642,0.7001529411764696,4.878294629052189,2023-12-07 12:57:21.070,-0.02856274,0.2051851,0.9782852,0.017,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142318,-0.30919222222222204,0.21024999999999977,-0.0550388888888895,0.37793408429624253,2023-12-07 12:57:21.088,-0.0341282,0.2089696,0.9772945,0.018000000000000002,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142319,0.3206359999999998,-0.15300000000000036,0.04553999999999947,0.3581764036002371,2023-12-07 12:57:21.098,-0.03092184,0.2074396,0.9777499,0.01,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142320,-0.15198258620689659,-0.12631206896551728,0.020153448275862556,0.19864442291162923,2023-12-07 12:57:21.156,-0.03973683,0.2001135,0.9789188,0.058,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
142321,-0.05602307692307701,-0.10812307692307745,0.01888461538461612,0.1232307332180881,2023-12-07 12:57:21.169,-0.04046513,0.1987079,0.9791643,0.013000000000000001,True,,18.0,2.8640000000000003,111.20200000000001,-0.2483459683715415,-0.16788226272727272,0.8412790541501977
