square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
7,"[0.3, 0]",None,0,19,19,19,,,,,,,,,464.17043529998045,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.1541623999947,464.17043529998045,464.17043529998045,464.653637099982,464.67032429997926,467.15359889998217,467.1537418999942,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
3,"[0, 0.2]",None,0,20,20,20,,,,,,,,,467.17002959997626,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.15424909998546,467.17002959997626,467.17002959997626,467.6536802999908,467.67036619997816,470.15375209998456,470.15391149997595,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
10,"[0, -0.2]",None,0,21,21,21,,,,,,,,,470.1703991999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.1545141999959,470.1703991999966,470.1703991999966,470.65384419998736,470.6705430999864,473.1537315000023,473.15393919998314,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
1,"[-0.64, 0.4]",None,0,22,22,22,,,,,,,,,473.1704063999932,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.1548117999919,473.1704063999932,473.1704063999932,473.6537372999883,473.67023009998957,476.15367989998776,476.15384009998525,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
2,"[0.64, 0.4]",None,0,23,23,23,,,,,,,,,476.1702778999752,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.1544711999886,476.1702778999752,476.1702778999752,476.6534926999884,476.6701861000038,479.1535115999868,479.15369779997854,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
6,"[-0.3, 0]",None,0,24,24,24,,,,,,,,,479.1701714999799,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.15446029999293,479.1701714999799,479.1701714999799,479.65357799999765,479.67015930000343,482.1532701999822,482.1533891999861,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
3,"[0, 0.2]",None,0,25,25,25,,,,,,,,,482.1699750999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.1537747999828,482.1699750999978,482.1699750999978,482.6535051999963,482.67022699999507,485.15347839999595,485.15367939998396,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
11,"[-0.64, -0.4]",space,0,26,26,26,,,,,,,,,485.1699953999778,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.15447469998617,485.1699953999778,485.1699953999778,485.65359400000307,485.67022259999067,488.153305099986,488.1534677000018,space,1,0.2856831999961287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
1,"[-0.64, 0.4]",None,0,27,27,27,,,,,,,,,488.17006459998083,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.1541978000023,488.17006459998083,488.17006459998083,488.6534833999758,488.6700105999771,491.1533262000012,491.15350349998334,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
3,"[0, 0.2]",None,0,28,28,28,,,,,,,,,491.17007569997804,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.15419889998157,491.17007569997804,491.17007569997804,491.65336039999966,491.66994989998057,494.15321369998856,494.15339510000194,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
