square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
4,"[-0.2, 0.1]",None,0,36,36,36,,,,,,,,,3971.306112500024,,,,,,,,,,,,,,,,,,,,,,,,,,,,3971.2905701999553,3971.306112500024,3971.306112500024,3971.789473699988,3971.806188700022,3974.289374700049,3974.289535899996,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
5,"[0.2, 0.1]",None,0,37,37,37,,,,,,,,,3974.3059580000117,,,,,,,,,,,,,,,,,,,,,,,,,,,,3974.290169600048,3974.3059580000117,3974.3059580000117,3974.7893235000083,3974.8059961999534,3977.2894535999512,3977.2897016999777,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
6,"[-0.3, 0]",None,0,38,38,38,,,,,,,,,3977.3060360000236,,,,,,,,,,,,,,,,,,,,,,,,,,,,3977.290536100045,3977.3060360000236,3977.3060360000236,3977.7892761999974,3977.8059109000023,3980.2890892999712,3980.2892109999666,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
11,"[-0.64, -0.4]",space,0,39,39,39,,,,,,,,,3980.3057502999436,,,,,,,,,,,,,,,,,,,,,,,,,,,,3980.289765099995,3980.3057502999436,3980.3057502999436,3980.7892855999526,3980.8059001000365,3983.2893337999703,3983.28951589996,space,1,0.31184879993088543,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3983.2901546000503,3983.3059559999965,3983.3059559999965,4001.7568158999784,space,18.436675400007516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
10,"[0, -0.2]",None,,,,,0,0,0,0,,,,,4002.7721004999476,,,,,,,,,,,,,,,,,,,,,,,,4001.756851300015,4001.772173400037,4002.7721004999476,4002.7558261000086,,,,,,,,,,,,,,,,,,,4002.7686614999548,4002.7721004999476,4002.7721004999476,4003.2723372000037,4003.2723372000037,4005.772140200017,4005.772140200017,4005.7562798999716,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
5,"[0.2, 0.1]",None,,,,,0,1,1,1,,,,,4005.772140200017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4005.757132999948,4005.772140200017,4005.772140200017,4006.2720625000075,4006.2720625000075,4008.7721051999833,4008.7721051999833,4008.756214000052,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
6,"[-0.3, 0]",None,,,,,0,2,2,2,,,,,4008.7721051999833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4008.756854700041,4008.7721051999833,4008.7721051999833,4009.2720774000045,4009.2720774000045,4011.7720868999604,4011.7720868999604,4011.7563064999413,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
6,"[-0.3, 0]",space,,,,,0,3,3,3,,,,,4011.7720868999604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4011.757070999942,4011.7720868999604,4011.7720868999604,4012.271969499998,4012.271969499998,4014.7720594999846,4014.7720594999846,4014.75621589995,space,1,0.6704267000313848,None,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
12,"[0.64, -0.4]",None,,,,,0,4,4,4,,,,,4014.7720594999846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014.757121599978,4014.7720594999846,4014.7720594999846,4015.271709499997,4015.271709499997,4017.7719111000188,4017.7719111000188,4017.7560327999527,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,nback4,001,2023-12-07_16h19.18.069,untitled,2023.2.3,59.833626632597756,2023-12-07 16h19.36.138566 -0500,
