square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,target_square_0.stopped,fixation_0.started,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 104
7.0,"[0.3, 0]",None,0.0,19.0,19.0,19.0,,,,,,,,,94.72903159999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.71437000000152,94.72903159999989,94.72903159999989,95.22898330000316,95.22898330000316,97.7290948000009,97.7290948000009,97.71331530000316,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
3.0,"[0, 0.2]",None,0.0,20.0,20.0,20.0,,,,,,,,,97.7290948000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.7140029000002,97.7290948000009,97.7290948000009,98.22911849999946,98.22911849999946,100.72903249999943,100.72903249999943,100.71322570000484,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
10.0,"[0, -0.2]",None,0.0,21.0,21.0,21.0,,,,,,,,,100.72903249999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7139590000006,100.72903249999943,100.72903249999943,101.2290811999992,101.2290811999992,103.72897400000512,103.72897400000512,103.71307499999966,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
1.0,"[-0.64, 0.4]",None,0.0,22.0,22.0,22.0,,,,,,,,,103.72897400000512,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.713743100001,103.72897400000512,103.72897400000512,104.2289982000002,104.2289982000002,106.72891350000282,106.72891350000282,106.71335810000164,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
2.0,"[0.64, 0.4]",None,0.0,23.0,23.0,23.0,,,,,,,,,106.72891350000282,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.71409080000012,106.72891350000282,106.72891350000282,107.22886170000127,107.22886170000127,109.72891430000163,109.72891430000163,109.713090199999,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
6.0,"[-0.3, 0]",None,0.0,24.0,24.0,24.0,,,,,,,,,109.72891430000163,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.71386429999984,109.72891430000163,109.72891430000163,110.22882039999968,110.22882039999968,112.72878109999874,112.72878109999874,112.7131137000033,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
3.0,"[0, 0.2]",None,0.0,25.0,25.0,25.0,,,,,,,,,112.72878109999874,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.7138438000038,112.72878109999874,112.72878109999874,113.22878440000204,113.22878440000204,115.72877090000112,115.72877090000112,115.7132369000028,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
11.0,"[-0.64, -0.4]",space,0.0,26.0,26.0,26.0,,,,,,,,,115.72877090000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.71400300000096,115.72877090000112,115.72877090000112,116.22861000000556,116.22861000000556,118.72846610000124,118.72846610000124,118.71321290000196,space,1.0,0.4921422999977949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
1.0,"[-0.64, 0.4]",None,0.0,27.0,27.0,27.0,,,,,,,,,118.72846610000124,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.71434820000286,118.72846610000124,118.72846610000124,119.22871080000186,119.22871080000186,121.72866259999864,121.72866259999864,121.7131092999989,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
3.0,"[0, 0.2]",None,0.0,28.0,28.0,28.0,,,,,,,,,121.72866259999864,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.7139485000007,121.72866259999864,121.72866259999864,122.22871580000356,122.22871580000356,124.72854730000108,124.72854730000108,124.71303970000008,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
