square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 100
1.0,"[-0.64, 0.4]",None,0.0,22.0,22.0,22.0,,,,,,,,,85.2024381000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.18621720001101,85.2024381000083,85.2024381000083,85.6856544999755,85.70233609998832,88.18576000002213,88.1858236999833,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
2.0,"[0.64, 0.4]",None,0.0,23.0,23.0,23.0,,,,,,,,,88.2021156999981,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.18615129997488,88.2021156999981,88.2021156999981,88.68559649999952,88.70229669997934,91.18565409997244,91.18577719997847,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
6.0,"[-0.3, 0]",None,0.0,24.0,24.0,24.0,,,,,,,,,91.20220010000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.18610300001455,91.20220010000048,91.20220010000048,91.68547560001024,91.70221930003028,94.18557989998952,94.18564989999868,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
3.0,"[0, 0.2]",None,0.0,25.0,25.0,25.0,,,,,,,,,94.2022614000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.18598650000058,94.2022614000016,94.2022614000016,94.68531700002497,94.7022225999972,97.18540199997368,97.18548149999695,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
11.0,"[-0.64, -0.4]",space,0.0,26.0,26.0,26.0,,,,,,,,,97.2021516999812,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.18581529997756,97.2021516999812,97.2021516999812,97.68530930002451,97.70191429997794,100.18544370000018,100.18550389999292,space,1.0,0.3858652000199072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
1.0,"[-0.64, 0.4]",None,0.0,27.0,27.0,27.0,,,,,,,,,100.20208670001011,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.18589700001758,100.20208670001011,100.20208670001011,100.68535350001184,100.7021433999762,103.18528929998864,103.18536780000431,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
3.0,"[0, 0.2]",None,0.0,28.0,28.0,28.0,,,,,,,,,103.20200230000772,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.18569579999894,103.20200230000772,103.20200230000772,103.685392400017,103.70199580001643,106.18533569999272,106.18539609998696,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
9.0,"[0.2, -0.1]",None,0.0,29.0,29.0,29.0,,,,,,,,,106.20203589997254,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1857232999755,106.20203589997254,106.20203589997254,106.68533890001709,106.7018728000112,109.1853169000242,109.18538119998992,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
8.0,"[-0.2, -0.1]",None,0.0,30.0,30.0,30.0,,,,,,,,,109.20184059999885,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.18582419998712,109.20184059999885,109.20184059999885,109.6853033999796,109.70192199997835,112.18523439997809,112.18538169999374,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
12.0,"[0.64, -0.4]",None,0.0,31.0,31.0,31.0,,,,,,,,,112.20186249999097,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.18584140000166,112.20186249999097,112.20186249999097,112.68506940000223,112.70176289998926,115.18523860001004,115.18538729997816,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
