square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,response_0.stopped,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
7,"[0.3, 0]",None,0,19,19,19,,,,,,,,,2061.0293237000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,2061.0146865000133,2061.0293237000005,2061.0293237000005,2061.5295450999984,2061.5295450999984,2064.029597100045,2064.0137477000244,None,1,,,2064.029597100045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
3,"[0, 0.2]",None,0,20,20,20,,,,,,,,,2064.029597100045,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.0144853999955,2064.029597100045,2064.029597100045,2064.5296225000056,2064.5296225000056,2067.0296757000033,2067.01354840002,None,1,,,2067.0296757000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
10,"[0, -0.2]",None,0,21,21,21,,,,,,,,,2067.0296757000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067.0141626000404,2067.0296757000033,2067.0296757000033,2067.529558100039,2067.529558100039,2070.029558100039,2070.013654200011,None,1,,,2070.029558100039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
1,"[-0.64, 0.4]",None,0,22,22,22,,,,,,,,,2070.029558100039,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070.0143403999973,2070.029558100039,2070.029558100039,2070.529450900038,2070.529450900038,2073.0294066999923,2073.013738300011,None,1,,,2073.0294066999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
2,"[0.64, 0.4]",None,0,23,23,23,,,,,,,,,2073.0294066999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073.0146939000115,2073.0294066999923,2073.0294066999923,2073.5293302999926,2073.5293302999926,2076.029273400025,2076.0133954000194,None,1,,,2076.029273400025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
6,"[-0.3, 0]",None,0,24,24,24,,,,,,,,,2076.029273400025,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076.0140481000417,2076.029273400025,2076.029273400025,2076.5293075999944,2076.5293075999944,2079.029450000031,2079.0135881000315,None,1,,,2079.029450000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
3,"[0, 0.2]",None,0,25,25,25,,,,,,,,,2079.029450000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,2079.014359200024,2079.029450000031,2079.029450000031,2079.529049600009,2079.529049600009,2082.0292943000095,2082.0135562000214,None,1,,,2082.0292943000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
11,"[-0.64, -0.4]",space,0,26,26,26,,,,,,,,,2082.0292943000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082.014252700028,2082.0292943000095,2082.0292943000095,2082.5292469999986,2082.5292469999986,2085.029363400012,2085.01341449999,space,1,0.3376973000122234,None,2085.029363400012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
1,"[-0.64, 0.4]",None,0,27,27,27,,,,,,,,,2085.029363400012,,,,,,,,,,,,,,,,,,,,,,,,,,,,2085.0141203000094,2085.029363400012,2085.029363400012,2085.5292307999916,2085.5292307999916,2088.0292243000004,2088.0135264000273,None,1,,,2088.0292243000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
3,"[0, 0.2]",None,0,28,28,28,,,,,,,,,2088.0292243000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,2088.014286599995,2088.0292243000004,2088.0292243000004,2088.5292032000143,2088.5292032000143,2091.0292039000196,2091.013412600034,None,1,,,2091.0292039000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
