square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 103
7.0,"[0.3, 0]",None,0.0,19.0,19.0,19.0,,,,,,,,,1825.350108699873,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825.3344586000312,1825.350108699873,1825.350108699873,1825.8335102000276,1825.8502122999637,1828.3335215998811,1828.333696899936,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
3.0,"[0, 0.2]",None,0.0,20.0,20.0,20.0,,,,,,,,,1828.350193500053,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828.334342200076,1828.350193500053,1828.350193500053,1828.833381799981,1828.849961000029,1831.333449299913,1831.333625700092,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
10.0,"[0, -0.2]",None,0.0,21.0,21.0,21.0,,,,,,,,,1831.3500375999135,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831.3343257999516,1831.3500375999135,1831.3500375999135,1831.8333854000084,1831.850147499936,1834.3334144998807,1834.3335792999717,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
1.0,"[-0.64, 0.4]",None,0.0,22.0,22.0,22.0,,,,,,,,,1834.350019099889,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834.3345981000457,1834.350019099889,1834.350019099889,1834.8333441000432,1834.8499368000776,1837.3335520999967,1837.333764499985,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
2.0,"[0.64, 0.4]",None,0.0,23.0,23.0,23.0,,,,,,,,,1837.3500774998683,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837.334582499927,1837.3500774998683,1837.3500774998683,1837.833333000075,1837.849906000076,1840.333285700064,1840.3334536999464,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
6.0,"[-0.3, 0]",None,0.0,24.0,24.0,24.0,,,,,,,,,1840.349991899915,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840.3341449000875,1840.349991899915,1840.349991899915,1840.83324409998,1840.8499374999665,1843.333294000011,1843.333473300096,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
3.0,"[0, 0.2]",None,0.0,25.0,25.0,25.0,,,,,,,,,1843.3500379999168,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843.3341437999625,1843.3500379999168,1843.3500379999168,1843.8333972000985,1843.849913999904,1846.3334123999807,1846.3336100000888,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
11.0,"[-0.64, -0.4]",space,0.0,26.0,26.0,26.0,,,,,,,,,1846.3496743000576,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846.334373000078,1846.3496743000576,1846.3496743000576,1846.833120699972,1846.8498281000648,1849.333087499952,1849.3332511000333,space,1.0,0.3415926001034677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
1.0,"[-0.64, 0.4]",None,0.0,27.0,27.0,27.0,,,,,,,,,1849.3498150000812,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849.3340209999587,1849.3498150000812,1849.3498150000812,1849.8330983999183,1849.8498416999355,1852.3331438000316,1852.333313500043,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
3.0,"[0, 0.2]",None,0.0,28.0,28.0,28.0,,,,,,,,,1852.349789599888,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852.3339605999645,1852.349789599888,1852.349789599888,1852.8329884000125,1852.8497498000504,1855.333189399913,1855.3333886000328,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
