square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
7,"[0.3, 0]",None,0,19,19,19,,,,,,,,,142.27073300001211,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.25583670008928,142.27073300001211,142.27073300001211,142.77086300007068,142.77086300007068,145.27062200009823,145.27062200009823,145.25474600004964,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
3,"[0, 0.2]",None,0,20,20,20,,,,,,,,,145.27062200009823,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.25548120005988,145.27062200009823,145.27062200009823,145.77065120008774,145.77065120008774,148.2707706000656,148.2707706000656,148.25483940006234,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
10,"[0, -0.2]",None,0,21,21,21,,,,,,,,,148.2707706000656,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.25552990008146,148.2707706000656,148.2707706000656,148.77065170009155,148.77065170009155,151.2705530000385,151.2705530000385,151.2547295000404,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
1,"[-0.64, 0.4]",None,0,22,22,22,,,,,,,,,151.2705530000385,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.25539639999624,151.2705530000385,151.2705530000385,151.77049360005185,151.77049360005185,154.27049990009982,154.27049990009982,154.2552219000645,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
2,"[0.64, 0.4]",None,0,23,23,23,,,,,,,,,154.27049990009982,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.25595810008235,154.27049990009982,154.27049990009982,154.77037230005953,154.77037230005953,157.27049410005566,157.27049410005566,157.25455250008963,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
6,"[-0.3, 0]",None,0,24,24,24,,,,,,,,,157.27049410005566,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.2552307000151,157.27049410005566,157.27049410005566,157.77030450000893,157.77030450000893,160.2701812000014,160.2701812000014,160.25444450008217,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
3,"[0, 0.2]",None,0,25,25,25,,,,,,,,,160.2701812000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.25499929999933,160.2701812000014,160.2701812000014,160.77034150005784,160.77034150005784,163.27023920009378,163.27023920009378,163.25463970005512,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
11,"[-0.64, -0.4]",space,0,26,26,26,,,,,,,,,163.27023920009378,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.2553919000784,163.27023920009378,163.27023920009378,163.770270200097,163.770270200097,166.2702777000377,166.2702777000377,166.25420130009297,space,1,0.38619430002290756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
1,"[-0.64, 0.4]",None,0,27,27,27,,,,,,,,,166.2702777000377,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.25491230003536,166.2702777000377,166.2702777000377,166.77015080000274,166.77015080000274,169.2701653999975,169.2701653999975,169.25394960003905,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
3,"[0, 0.2]",None,0,28,28,28,,,,,,,,,169.2701653999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.25431180000305,169.2701653999975,169.2701653999975,169.7701830000151,169.7701830000151,172.27022160007618,172.27022160007618,172.25434050010517,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
9,"[0.2, -0.1]",None,0,29,29,29,,,,,,,,,172.27022160007618,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.25498290010728,172.27022160007618,172.27022160007618,172.77017360005993,172.77017360005993,175.27000180003233,175.27000180003233,175.25410660007037,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
8,"[-0.2, -0.1]",None,0,30,30,30,,,,,,,,,175.27000180003233,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.2546172000002,175.27000180003233,175.27000180003233,175.76998960005585,175.76998960005585,178.26992360001896,178.26992360001896,178.2544147000881,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
