square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 103
7.0,"[0.3, 0]",None,0.0,19.0,19.0,19.0,,,,,,,,,2080.1192476,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080.1035027000034,2080.1192476,2080.1192476,2080.602442500007,2080.6192224000115,2083.1023659000057,2083.102517900013,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
3.0,"[0, 0.2]",None,0.0,20.0,20.0,20.0,,,,,,,,,2083.1192040000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,2083.1030949000124,2083.1192040000024,2083.1192040000024,2083.602372900001,2083.6190184000006,2086.1024067000108,2086.1025948000024,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
10.0,"[0, -0.2]",None,0.0,21.0,21.0,21.0,,,,,,,,,2086.1190975000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,2086.1033432000118,2086.1190975000063,2086.1190975000063,2086.602208700002,2086.618942000001,2089.102452200008,2089.102662100005,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
1.0,"[-0.64, 0.4]",None,0.0,22.0,22.0,22.0,,,,,,,,,2089.1189774000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,2089.103520000004,2089.1189774000086,2089.1189774000086,2089.602411,2089.6188421000115,2092.1021791000094,2092.102330900001,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
2.0,"[0.64, 0.4]",None,0.0,23.0,23.0,23.0,,,,,,,,,2092.119071100009,,,,,,,,,,,,,,,,,,,,,,,,,,,,2092.102914000003,2092.119071100009,2092.119071100009,2092.6023380000115,2092.6188188000087,2095.1023055000114,2095.1025156000105,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
6.0,"[-0.3, 0]",None,0.0,24.0,24.0,24.0,,,,,,,,,2095.1188423999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,2095.1032261000078,2095.1188423999997,2095.1188423999997,2095.6022512000054,2095.6192071000114,2098.102181200011,2098.102354900009,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
3.0,"[0, 0.2]",None,0.0,25.0,25.0,25.0,,,,,,,,,2098.1187412,,,,,,,,,,,,,,,,,,,,,,,,,,,,2098.103034500004,2098.1187412,2098.1187412,2098.60218110001,2098.619011600007,2101.1021626,2101.1023477000126,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
11.0,"[-0.64, -0.4]",space,0.0,26.0,26.0,26.0,,,,,,,,,2101.1187763000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,2101.103113400008,2101.1187763000053,2101.1187763000053,2101.602056500007,2101.6187082000106,2104.1021683,2104.1023544000054,space,1.0,0.50364609999815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
1.0,"[-0.64, 0.4]",None,0.0,27.0,27.0,27.0,,,,,,,,,2104.1187482000096,,,,,,,,,,,,,,,,,,,,,,,,,,,,2104.103254200003,2104.1187482000096,2104.1187482000096,2104.602157400004,2104.6186004000047,2107.1019827000127,2107.102158100009,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
3.0,"[0, 0.2]",None,0.0,28.0,28.0,28.0,,,,,,,,,2107.118666200011,,,,,,,,,,,,,,,,,,,,,,,,,,,,2107.1028819000057,2107.118666200011,2107.118666200011,2107.60202250001,2107.618679600011,2110.102045000007,2110.1022228000074,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
