participant_number,subexperiment_number,MRTScore,MRTAcc,MRTGroup,nback_hits_0,nback_hit_rate_0,nback_correct_rejections_0,nback_rt_target_0,nback_rt_nontarget_0,nback_composite_0,nback_hits_1,nback_hit_rate_1,nback_correct_rejections_1,nback_rt_target_1,nback_rt_nontarget_1,nback_composite_1,nback_hits_2,nback_hit_rate_2,nback_correct_rejections_2,nback_rt_target_2,nback_rt_nontarget_2,nback_composite_2,nback_hits_avg,nback_hit_rate_avg,nback_rt_target_avg,nback_rt_non_target_avg,nback_composite_avg,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_subexperiment,answer_incorrect_subexperiment,feedback_score_subexperiment,median_split_feedback_score_subexperiment,quartile_split_feedback_score_subexperiment,trial_duration_1,trial_duration_2,trial_duration_3,trial_duration_4,trial_duration_mean,performance_subexperiment,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1,tutorial_threshold,tutorial_split_feedback_score_subexperiment,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_average_peak,O2Hb_difference_peak,O2Hb_auc,O2Hb_highest_peak_trial_1,O2Hb_highest_peak_trial_2,O2Hb_highest_peak_trial_3,O2Hb_highest_peak_trial_4,O2Hb_lowest_peak_trial_1,O2Hb_lowest_peak_trial_2,O2Hb_lowest_peak_trial_3,O2Hb_lowest_peak_trial_4,O2Hb_average_peak_trial_1,O2Hb_average_peak_trial_2,O2Hb_average_peak_trial_3,O2Hb_average_peak_trial_4,O2Hb_difference_peak_trial_1,O2Hb_difference_peak_trial_2,O2Hb_difference_peak_trial_3,O2Hb_difference_peak_trial_4,O2Hb_auc_peak_trial_1,O2Hb_auc_peak_trial_2,O2Hb_auc_peak_trial_3,O2Hb_auc_peak_trial_4,duration_fixation,duration_saccade,count_fixations,count_saccades,tutorial_threshold,tutorial_split_feedback_score_subexperiment
3,3,0,0.0,Low,8,100.0,100.0,432.0889249938773,,0.2314338420069827,10,100.0,100.0,444.5620800252073,,0.2249404627455627,8,100.0,96.875,543.1930249906145,2013.5157000040635,0.1840966201687288,8.666666666666666,100.0,473.2813433365664,,0.2134903083070914,300.0095,95.07400000000008,75.0,78.125,3,1,3,0,0,19.124000000000024,31.988000000000056,19.90999999999985,29.64500000000021,25.16675000000004,2.980122582375551,4,1,7,1,4.0,0,0.0292503022102689,-0.0299266006230643,0.0001164192214328,0.0591769028333333,-0.0031588727544669,0.0292503022102689,0.0228032447102689,0.0179136580436022,0.0107527567102689,-0.0172226099563977,-0.013280847289731,-0.0087140464563977,-0.0299266006230643,0.0,0.0,0.0,0.0,0.0464729121666666,0.036084092,0.0266277045,0.0406793573333333,0.0112155812314078,-0.0146942978591758,0.0090200669259176,-0.0537477742725995,215.39314588368148,-3283.802549521112,334,802,4.0,0
3,4,0,0.0,Low,8,100.0,100.0,432.0889249938773,,0.2314338420069827,10,100.0,100.0,444.5620800252073,,0.2249404627455627,8,100.0,96.875,543.1930249906145,2013.5157000040635,0.1840966201687288,8.666666666666666,100.0,473.2813433365664,,0.2134903083070914,300.0095,93.19999999999982,100.0,78.125,4,0,2,0,0,34.677999999999884,10.586999999999987,33.5630000000001,16.843999999999824,23.91799999999995,4.18095158458066,4,1,7,1,4.0,0,0.0208882367102689,-0.0271363816230643,-0.0004346501122193,0.0480246183333333,-0.0359336102284996,0.0149136107102689,0.0076294873769356,0.0166409478769356,0.0208882367102689,-0.0271363816230643,-0.015776391789731,-0.0088524529563977,-0.0091633054563977,0.0,0.0,0.0,0.0,0.0420499923333333,0.0234058791666666,0.0254934008333333,0.0300515421666666,-0.0423768616150785,-0.0292028875403445,-0.0142302410806016,0.0025980839550839,203.5721779935917,21.106193683842186,340,809,4.0,0
3,5,0,0.0,Low,8,100.0,100.0,432.0889249938773,,0.2314338420069827,10,100.0,100.0,444.5620800252073,,0.2249404627455627,8,100.0,96.875,543.1930249906145,2013.5157000040635,0.1840966201687288,8.666666666666666,100.0,473.2813433365664,,0.2134903083070914,300.0095,78.32200000000012,75.0,78.125,3,1,3,0,0,15.993000000000166,19.412000000000035,13.63299999999981,32.759000000000015,20.449250000000006,3.6676161717422393,4,1,7,1,4.0,0,0.0351992330436022,-0.0202453776230643,8.828857437626335e-05,0.0554446106666666,-0.0181190879459788,0.0351992330436022,0.0201681870436022,0.0116400935436022,0.0182211835436022,-0.0202453776230643,-0.0089255071230643,-0.0118361984563977,-0.0153482994563977,0.0,0.0,0.0,0.0,0.0554446106666666,0.0290936941666666,0.0234762919999999,0.033569483,-0.0168409755174592,-0.0049884562515873,-0.0367352488710451,-0.0242193330526095,198.24748865063825,25.03757313407192,308,687,4.0,0
3,6,0,0.0,Low,8,100.0,100.0,432.0889249938773,,0.2314338420069827,10,100.0,100.0,444.5620800252073,,0.2249404627455627,8,100.0,96.875,543.1930249906145,2013.5157000040635,0.1840966201687288,8.666666666666666,100.0,473.2813433365664,,0.2134903083070914,300.0095,93.39200000000004,75.0,78.125,3,1,4,1,0,13.286000000000058,22.81099999999992,23.47900000000004,39.11000000000013,24.67150000000004,3.03994487566625,4,1,7,1,4.0,1,0.0156390600436022,-0.0146527844563977,-9.628621783240544e-05,0.0302918444999999,-0.022206568918235,0.0139903253769356,0.0114922822102689,0.0156390600436022,0.0072601452102689,-0.0146527844563977,-0.0100608754563977,-0.006742399789731,-0.0103544209563977,0.0,0.0,0.0,0.0,0.0286431098333333,0.0215531576666666,0.0223814598333333,0.0176145661666666,-0.0386891298966863,0.0025190230326814,0.01525946985351,-0.0044201454803838,210.6399799960968,24.577261273116363,330,811,4.0,1
3,7,0,0.0,Low,8,100.0,100.0,432.0889249938773,,0.2314338420069827,10,100.0,100.0,444.5620800252073,,0.2249404627455627,8,100.0,96.875,543.1930249906145,2013.5157000040635,0.1840966201687288,8.666666666666666,100.0,473.2813433365664,,0.2134903083070914,300.0095,69.53499999999985,75.0,78.125,3,1,6,1,1,12.649999999999864,17.182999999999993,21.610000000000127,22.47900000000004,18.480500000000006,4.058331755093205,4,1,7,1,4.0,1,0.0314901194602689,-0.027323088789731,0.0001649550633239,0.05881320825,0.0330839146762063,0.0314901194602689,0.0143721285436022,0.0198450860436022,0.0107549375436022,-0.027323088789731,-0.0089521304563977,-0.009117611289731,-0.0094057654563977,0.0,0.0,0.0,0.0,0.05881320825,0.023324259,0.0289626973333333,0.020160703,-0.0031477047388583,-0.0039537985421612,0.0039880671953968,0.010235260332566,204.69723496041743,23.516007461208773,238,659,4.0,1
3,8,0,0.0,Low,8,100.0,100.0,432.0889249938773,,0.2314338420069827,10,100.0,100.0,444.5620800252073,,0.2249404627455627,8,100.0,96.875,543.1930249906145,2013.5157000040635,0.1840966201687288,8.666666666666666,100.0,473.2813433365664,,0.2134903083070914,300.0095,82.37299999999982,100.0,78.125,4,0,7,1,1,15.670999999999822,21.593000000000075,31.39699999999993,13.711999999999987,20.593249999999955,4.85596008400812,4,1,7,1,4.0,1,0.0430138947102689,-0.0271362194563977,-2.914032170563e-06,0.0701501141666666,0.0134900444696675,0.0193087240436022,0.0430138947102689,0.0372963657102689,0.0207228607102689,-0.0271362194563977,-0.0193905174563977,-0.0254751144563977,-0.0164728766230643,0.0,0.0,0.0,0.0,0.0464449435,0.0624044121666666,0.0627714801666666,0.0371957373333333,-0.0479325473188751,-0.0156095310563185,-0.0035442550139215,0.0161923466937526,193.4837649481529,23.303691294869136,295,687,4.0,1
4,1,3,12.5,Low,8,100.0,100.0,404.7064374899492,,0.2470926843175888,4,40.0,100.0,649.7102749708574,,0.0615659033586842,8,100.0,96.875,789.0615499636624,1578.8971000583842,0.1267328258544661,6.666666666666667,80.0,614.4927541414896,,0.1451304711769131,300.0152999999999,128.1916,75.0,84.375,3,1,4,0,0,36.62760000000003,30.31549999999993,32.14350000000002,26.01679999999999,31.27584999999999,2.398016360866292,5,1,7,4,4.0,1,0.1510828619534992,-0.1121732767965008,0.0004354857240359,0.26325613875,-0.2357284478805299,0.1077206707034991,0.1098761407034991,0.0774385669534991,0.0588949473284991,-0.1078958555465008,-0.0775505692965008,-0.1121732767965008,-0.0691873105465008,0.0,0.0,0.0,0.0,0.21561652625,0.18742671,0.18961184375,0.128082257875,-0.0059442075742982,0.0426779433691571,-0.2925619969528369,-0.0657725685166679,370.7114531509068,23.68817032368503,247,472,4.0,1
4,2,3,12.5,Low,8,100.0,100.0,404.7064374899492,,0.2470926843175888,4,40.0,100.0,649.7102749708574,,0.0615659033586842,8,100.0,96.875,789.0615499636624,1578.8971000583842,0.1267328258544661,6.666666666666667,80.0,614.4927541414896,,0.1451304711769131,300.0152999999999,80.10100000000011,100.0,84.375,4,0,3,0,0,26.881000000000085,21.955999999999904,16.11200000000008,18.595000000000027,20.886000000000024,4.787896198410413,5,1,7,4,4.0,0,0.0983779319534991,-0.1412273017965008,-0.0009330656893785,0.2396052337499999,0.0821677759491046,0.0672747069534991,0.0981172182034992,0.0924397382034991,0.0473809443284991,-0.1054185305465008,-0.0920421917965008,-0.1412273017965008,-0.0846543817965008,0.0,0.0,0.0,0.0,0.1726932374999999,0.19015941,0.23366704,0.132035326125,-0.0544681825577706,0.0983850232987776,-0.0972666948118317,-0.0968713068936878,302.5819286517078,24.50411722961866,186,359,4.0,0
4,3,3,12.5,Low,8,100.0,100.0,404.7064374899492,,0.2470926843175888,4,40.0,100.0,649.7102749708574,,0.0615659033586842,8,100.0,96.875,789.0615499636624,1578.8971000583842,0.1267328258544661,6.666666666666667,80.0,614.4927541414896,,0.1451304711769131,300.0152999999999,132.47000000000003,50.0,84.375,2,2,5,0,0,26.55399999999986,35.00700000000006,44.77600000000007,29.345000000000027,33.920500000000004,1.474034875665158,5,1,7,4,4.0,1,0.1568563594534991,-0.1470387230465008,-0.000765249073441,0.3038950824999999,-0.1034218534355319,0.1185489994534992,0.1160410332034991,0.1568563594534991,0.0610731073284991,-0.0991367955465008,-0.0804702292965008,-0.1470387230465008,-0.0642358205465008,0.0,0.0,0.0,0.0,0.217685795,0.1965112625,0.3038950824999999,0.125308927875,-0.278171113536473,0.0448831760722636,0.2548824779672023,-0.1146646760345006,319.58445256167323,24.23201653137332,291,577,4.0,1
4,4,3,12.5,Low,8,100.0,100.0,404.7064374899492,,0.2470926843175888,4,40.0,100.0,649.7102749708574,,0.0615659033586842,8,100.0,96.875,789.0615499636624,1578.8971000583842,0.1267328258544661,6.666666666666667,80.0,614.4927541414896,,0.1451304711769131,300.0152999999999,135.61299999999983,100.0,84.375,4,0,5,0,0,37.557000000000016,45.200999999999794,27.93300000000022,28.88499999999999,34.894000000000005,2.86582220439044,5,1,7,4,4.0,1,0.1348105844534991,-0.1348243292965008,-0.0019709068044296,0.26963491375,-0.0590230391739323,0.0824615082034991,0.1348105844534991,0.0917972257034991,0.1112606482034991,-0.0892308380465008,-0.1348243292965008,-0.0916344292965008,-0.1219044217965008,0.0,0.0,0.0,0.0,0.17169234625,0.26963491375,0.183431655,0.23316507,-0.2076053452379702,0.1189356756740311,-0.1968733678064376,-0.0179420401106732,324.4072936472968,23.31704779681734,306,558,4.0,1
