participant_number,trial_number,subexperiment_number,MRTScore,MRTAcc,MRTGroup,nback_hits_0,nback_hit_rate_0,nback_correct_rejections_0,nback_rt_target_0,nback_rt_nontarget_0,nback_composite_0,nback_hits_1,nback_hit_rate_1,nback_correct_rejections_1,nback_rt_target_1,nback_rt_nontarget_1,nback_composite_1,nback_hits_2,nback_hit_rate_2,nback_correct_rejections_2,nback_rt_target_2,nback_rt_nontarget_2,nback_composite_2,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_trial,answer_incorrect_trial,nback_hits_avg,nback_hit_rate_avg,nback_rt_target_avg,nback_rt_non_target_avg,nback_composite_avg,trial_duration,trial_duration_mean,performance_trial,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1
3,7,1,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,9.071,18.27975,11.02414287,4,1,7,1
3,8,1,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,15.043,18.27975,6.647610184,4,1,7,1
3,9,2,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,19.124,18.27975,3.921773688,4,1,7,1
3,10,2,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,0,1,8.666666667,100,473.2813433,,0.213490308,31.988,18.27975,2.344629236,4,1,7,1
3,11,2,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,19.91,18.27975,3.766951281,4,1,7,1
3,12,2,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,29.645,18.27975,2.529937595,4,1,7,1
3,13,3,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,34.678,18.27975,2.883672645,4,1,7,1
3,14,3,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,10.587,18.27975,9.445546425,4,1,7,1
3,15,3,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,33.563,18.27975,2.979471442,4,1,7,1
3,16,3,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,16.844,18.27975,5.936832106,4,1,7,1
3,17,4,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,0,1,8.666666667,100,473.2813433,,0.213490308,15.993,18.27975,4.689551679,4,1,7,1
3,18,4,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,19.412,18.27975,3.863589532,4,1,7,1
3,19,4,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,13.633,18.27975,5.501357001,4,1,7,1
3,20,4,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,32.759,18.27975,2.289447175,4,1,7,1
3,21,5,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,13.286,18.27975,5.645039892,4,1,7,1
3,22,5,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,22.811,18.27975,3.287887423,4,1,7,1
3,23,5,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,23.479,18.27975,3.194343882,4,1,7,1
