participant_number,tutorial_number,O2Hb_average_peak,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_tutorial_difference_peak,O2Hb_auc
44,1,-0.016319387173031694,0.02936739910386073,-0.04699305614613927,0.07636045525,-0.16464920398639252
44,2,-0.02103318048832701,0.038462671353860736,-0.09746547614613926,0.13592814749999999,-0.21160099504195634
45,0,0.0013277543840382075,0.05291684885922978,-0.05559481956934165,0.10851166842857143,0.02257344236144182
45,1,0.0049480771632462875,0.03783962871637264,-0.018110091569341645,0.05594972028571429,0.0490912549374807
45,2,-0.0025296741660707296,0.04777144477351549,-0.04001642056934164,0.08778786534285712,-0.026775082450576387
46,0,0.010638434356170776,0.02879026439352485,-0.01943532435647515,0.04822558875,0.0998862814712711
46,1,0.001302502528420271,0.028107307893524856,-0.02442027835647515,0.05252758625000001,0.013452245662099044
46,2,0.009503633888736505,0.03167323689352486,-0.024333051698975146,0.05600628859250001,0.09627604343402348
47,0,-0.0027847919573808885,0.024678526340222082,-0.02164234848834935,0.04632087482857143,-0.04287185181013188
47,1,0.0014136536839750673,0.01996254018307922,-0.01594427228834935,0.03590681247142857,0.01434125447892946
47,2,-0.0024168258076234525,0.015423702083079223,-0.01613413948834935,0.031557841571428574,-0.0240681575194949
48,0,-0.0006234891473915673,0.04241974309880493,-0.08269089147262364,0.12511063457142857,-0.005690640144367015
48,1,0.0008916976352187084,0.04919107252737637,-0.04462560561548078,0.09381667814285716,0.009356023502217231
48,2,-0.011337766524627051,0.04049651552737637,-0.06722139290119507,0.10771790842857143,-0.11411397390549254
49,0,0.0006313224751908048,0.03480386375797362,-0.033204308554526385,0.0680081723125,0.005121234422618387
49,1,0.012726920016936755,0.044644068945473604,-0.03185481080452639,0.07649887975,0.1275847338172263
49,2,-0.020898216942453682,0.05589770757047361,-0.1090473746795264,0.16494508225,-0.21079531679505498
50,0,0.009533751078835325,0.07124592568848058,-0.03916516543651941,0.110411091125,0.11179557059444846
50,1,0.012946347400435267,0.15542219693848058,-0.08933398431151941,0.24475618124999998,0.13217254206533025
50,2,-0.005428687657637676,0.03280490856348058,-0.07372126681151941,0.106526175375,-0.05462795177272138
51,0,-0.0018911010022048178,0.10627584481061385,-0.08485617518938615,0.19113202,-0.02259781490147522
51,1,-0.008213914588475516,0.027785475096328126,-0.028619137217957582,0.05640461231428571,-0.08216815157214596
51,2,0.0031492086853605696,0.03013818809632813,-0.03040224361795759,0.06054043171428572,0.03189702824573874
52,0,0.08671323240964024,0.17592803926320869,-0.057902910036791315,0.2338309493,0.6613358434648355
52,1,-0.012313741798567066,0.11271045049178012,-0.1761213798939342,0.2888318303857143,-0.12237560497756533
52,2,-0.03982180272833315,0.06445574608320868,-0.1545155923225056,0.2189713384057143,-0.4000158997405294
53,0,0.0020644848965651426,0.04583802684480721,-0.0330262884051928,0.07886431525000001,0.015589113926740283
53,1,0.0005707083790850965,0.0798558243448072,-0.12934418190519278,0.20920000625,0.007501050609721005
53,2,-0.04239132283158722,0.04493927059480721,-0.20688524565519278,0.25182451625,-0.42362450870667656
54,0,-0.011184215588458338,0.1073480261951543,-0.14688774237627425,0.25423576857142854,-0.0920097900866379
54,1,-0.02080651361793051,0.021026017480868582,-0.08087727094770285,0.10190328842857144,-0.20779235011182892
54,2,0.028102665501537907,0.09266856833801144,-0.11617461809055998,0.20884318642857141,0.28324857760192024
56,0,-0.004309580613188077,0.09963537950000001,-0.08756002425000001,0.18719540375000002,-0.0373050750270017
56,1,-0.010348173604895419,0.04420484825,-0.059418731749999995,0.10362357999999999,-0.10529352384065052
56,2,0.01258093709185757,0.0526637645,-0.04498332799999999,0.09764709249999999,0.12739327179725074
57,0,-0.052082446873681736,0.22231556301468303,-0.24413189531865032,0.46644745833333334,-0.44012007544274845
57,1,-0.0687547573807685,0.048439921348016356,-0.29355363031865034,0.3419935516666667,-0.6907094273602026
57,2,-0.04451359305976585,0.07982769468134969,-0.1193954953186503,0.19922319,-0.4492373355406376
59,0,0.0005308463696747202,0.010643827678907428,-0.011016213946092573,0.021660041625,0.005556900876951957
59,1,-0.0032869115993311186,0.027327223678907425,-0.022074645196092577,0.049401868875000005,-0.033403874751440674
59,2,0.00345820524212456,0.039148529928907425,-0.018717431321092572,0.05786596125,0.03541999898127429
60,0,-0.015346997423571911,0.05181998716817574,-0.05933315408182427,0.11115314125,-0.1968848547815057
60,1,0.016599466879938685,0.03781480004317573,-0.010655940331824262,0.04847074037499999,0.1665235860646073
60,2,0.0037071964370208564,0.07202453216817573,-0.03539285858182426,0.10741739074999998,0.036410737360957166
