participant_number,tutorial_number,duration_fixation,duration_saccade,count_fixations,count_saccades
48,0,364.95132743363064,23.95533498759305,226,403
48,1,717.9230769230769,22.1,13,30
48,2,641.133333333341,22.15,30,40
49,0,577.8039215686298,22.11814345991561,102,237
49,1,606.3750000000218,22.333333333333332,16,30
49,2,862.8181818181712,22.20689655172414,22,29
50,0,314.1312741312791,23.21698113207547,259,212
50,1,986.3,22.125,10,16
50,2,1250.733333333279,22.16,15,25
51,0,469.6544117647093,22.69402985074627,136,268
51,1,757.6923076923166,21.956521739130434,13,23
51,2,617.7666666667094,22.128205128205128,30,39
52,0,394.90909090908696,26.185873605947954,176,269
52,1,549.0588235293844,22.214285714285715,17,28
52,2,858.7619047618992,21.970588235294116,21,34
53,0,289.48908296943256,22.90532544378698,229,338
53,1,295.4230769230814,365.13461538461536,26,52
53,2,420.14634146341035,24.4,41,50
54,0,386.8022598869978,22.295336787564768,177,193
54,1,1936.4000000000233,21.4,5,10
54,2,2012.5555555555427,22.291666666666668,9,24
56,0,484.8522727272648,22.27810650887574,176,169
56,1,978.5000000000116,21.842105263157894,10,19
56,2,799.2142857142691,22.041666666666668,14,24
57,0,419.8598726114594,22.849829351535835,157,293
57,1,403.4347826087058,22.121951219512194,23,41
57,2,431.90476190475357,22.295081967213115,42,61
59,0,427.3767123287759,23.64968152866242,146,157
59,1,1365.8749999999927,24.11764705882353,16,17
59,2,1033.0000000000068,21.823529411764707,17,17
60,0,439.20737327189636,24.83539094650206,217,243
60,1,646.6666666666589,22.0625,15,16
60,2,1282.846153846163,22.09090909090909,13,22
61,0,471.1293103448326,25.46875,232,320
61,1,877.7272727272833,22.22222222222222,11,18
61,2,925.3157894736536,41.705882352941174,19,17
62,0,437.616766467069,22.43921568627451,167,255
62,1,450.09523809525473,21.666666666666668,21,15
62,2,626.6896551724018,24.105263157894736,29,38
65,0,456.3982300884822,22.074074074074073,113,243
65,1,1812.8571428571345,21.818181818181817,14,22
65,2,768.2083333333236,26.59375,24,32
66,0,445.67073170731993,22.340740740740742,164,270
66,1,1668.3846153845884,22.27777777777778,13,18
66,2,771.2727272726744,21.42105263157895,22,19
67,0,396.4656084656091,24.25877192982456,189,228
67,1,640.6666666666899,21.68,15,25
67,2,591.0312499999964,22.210526315789473,32,38
68,0,310.344,79.12531969309462,250,391
68,1,2003.0909090908667,28.375,11,24
68,2,862.7272727272992,25.216216216216218,22,37
71,0,366.4791666666715,22.168,192,250
71,1,603.3750000000109,21.666666666666668,16,27
71,2,1138.4705882352941,22.647058823529413,17,17
72,0,384.41206030151983,22.83219178082192,199,292
72,1,753.6153846154025,22.181818181818183,13,11
72,2,762.7619047619103,23.083333333333332,21,24
73,0,343.16872427983776,22.175757575757576,243,330
