participant_number,tutorial_number,feedback_score_tutorial,O2Hb_average_peak,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_tutorial_difference_peak,O2Hb_auc,duration_fixation,duration_saccade,count_fixations,count_saccades
32,0,4,-0.0088372419789984,0.1151123245522791,-0.1292130554477208,0.2443253799999999,-0.2423297321400066,347.95283018868145,22.494339622641508,106,265
32,1,1,0.0237723315326775,0.1450261895522791,-0.0779628254477209,0.222989015,0.2359011961659937,790.1666666666279,22.24,12,25
32,2,5,0.0050066010528966,0.0743710620522791,-0.0823039859477209,0.156675048,0.051886746148995,909.285714285742,22.146341463414632,21,41
33,0,4,0.0031069738175957,0.0456307175129637,-0.0216693648732862,0.06730008238625,0.0490275307954765,432.6140350877234,22.084033613445374,114,119
33,1,1,-0.0040162585251418,0.0521232404267137,-0.0815436257357862,0.1336668661625,-0.0405255065512167,1350.142857142807,22.53846153846154,7,13
33,2,2,-0.0071061243767349,0.0116296206392137,-0.0195535508357862,0.031183171475,-0.0714264341842368,648.3214285714245,29.352941176470587,28,34
34,0,3,0.0060681711227162,0.0432447756461202,-0.0309266599788797,0.074171435625,0.0557198064042089,384.9401197604902,22.7680412371134,167,194
34,1,4,-0.0083801040607323,0.0309260781461202,-0.0494042681038797,0.08033034625,-0.0849560289230981,437.7368421052632,21.70833333333333,19,24
34,2,6,-0.0021402292988583,0.0131002495211202,-0.0280636813538797,0.041163930875,-0.021139001838882,955.2499999999884,22.24,20,25
35,0,6,-0.0010547362305009,0.01265737385854,-0.0124387808557457,0.0250961547142857,-0.0169913123323492,384.8689320388434,22.939075630252105,206,476
35,1,1,0.0049796224330033,0.01917462785854,-0.0178488424271742,0.0370234702857142,0.0503998447358683,753.7692307692487,22.08333333333333,13,24
35,2,6,-0.0012125082903444,0.0210065322871114,-0.0195826769986028,0.0405892092857142,-0.0124422179493991,636.4000000000373,22.67391304347826,25,46
36,0,2,0.0254366026024863,0.0646633124464369,-0.017473708803563,0.08213702125,0.164785550405504,294.1418439716337,23.48184818481848,141,303
36,1,2,0.0007039805683253,0.0413538961964369,-0.012928791553563,0.05428268775,0.0062431047081301,1098.888888888902,23.0,9,16
36,2,4,-0.0096635988032552,0.0370906428214369,-0.047830376303563,0.084921019125,-0.0981597216400409,920.0952380952408,21.89655172413793,21,29
37,0,4,-0.0025447075441703,0.004023998257102,-0.0094116478428979,0.0134356460999999,-0.0167870780518423,602.8263888888877,22.257142857142856,144,245
37,1,3,0.0123523999881802,0.048756875419602,-0.0097294959553979,0.058486371375,0.1224449551645453,370.6666666666521,22.0,24,43
37,2,6,-0.0057251789507564,0.028604984669602,-0.0510504728303979,0.0796554575,-0.05716585947528,829.5238095237929,22.0,21,42
38,0,4,0.0135998646996074,0.0597713643547346,-0.0502548268952653,0.1100261912499999,0.1588105042532726,427.6093750000018,104.7984496124031,128,258
38,1,4,-0.0063728641251557,0.0113920251047346,-0.0420945831452653,0.05348660825,-0.0635746919882532,420.9000000000058,29.62162162162162,20,37
38,2,5,-0.0009337178617194,0.0194614932297346,-0.0147445601452653,0.0342060533749999,-0.0097773294983529,616.5517241379271,22.125,29,32
39,0,2,0.0967993996199211,0.2005387314285714,-0.0385990199999999,0.2391377514285713,0.5620733582241149,386.0967741935528,23.132911392405063,93,158
39,1,2,0.0626425063190552,0.1832899685714286,-0.004472714,0.1877626825714285,0.625085191643314,1573.1999999999923,22.26086956521739,15,23
39,2,3,0.1388536076434951,0.2362416842857143,0.0280999062857142,0.208141778,1.3928732122149772,343.3333333333493,22.602150537634408,51,93
41,0,4,0.0015884967647514,0.0528412324988165,-0.0315541810011834,0.0843954134999999,0.0221200331919851,324.4746835443023,23.52097902097902,158,286
41,1,2,-0.0145016108153269,0.0454988197488165,-0.0710444822511835,0.116543302,-0.1450390433758369,305.296296296279,22.431372549019606,27,51
41,2,3,-0.0204747364425878,0.0151154251488165,-0.0854321785011835,0.10054760365,-0.205793520378535,555.3666666666511,38.526315789473685,30,57
44,0,1,-0.0103963142097325,0.0621258626038607,-0.1308212573961392,0.19294712,-0.129145079541226,438.8595041322218,22.65625,121,224
44,1,1,-0.0163193871730316,0.0293673991038607,-0.0469930561461392,0.07636045525,-0.1646492039863925,485.52631578950434,22.0,19,34
44,2,8,-0.021033180488327,0.0384626713538607,-0.0974654761461392,0.1359281474999999,-0.2116009950419563,880.9090909090909,22.023255813953487,22,43
45,0,4,0.0013277543840382,0.0529168488592297,-0.0555948195693416,0.1085116684285714,0.0225734423614418,364.93370165745534,135.2826086956522,181,230
45,1,1,0.0049480771632462,0.0378396287163726,-0.0181100915693416,0.0559497202857142,0.0490912549374807,889.5454545454439,22.11111111111111,11,18
45,2,2,-0.0025296741660707,0.0477714447735154,-0.0400164205693416,0.0877878653428571,-0.0267750824505763,871.8095238095349,22.2,21,30
46,0,1,0.0106384343561707,0.0287902643935248,-0.0194353243564751,0.04822558875,0.0998862814712711,264.5739130434757,23.51865671641791,115,268
46,1,1,0.0013025025284202,0.0281073078935248,-0.0244202783564751,0.05252758625,0.013452245662099,719.8461538461404,21.85185185185185,13,27
46,2,4,0.0095036338887365,0.0316732368935248,-0.0243330516989751,0.0560062885925,0.0962760434340234,807.0454545454334,22.227272727272727,22,22
47,0,3,-0.0027847919573808,0.024678526340222,-0.0216423484883493,0.0463208748285714,-0.0428718518101318,483.94736842105937,22.22279792746114,190,193
47,1,6,0.001413653683975,0.0199625401830792,-0.0159442722883493,0.0359068124714285,0.0143412544789294,377.0000000000048,23.782608695652176,24,23
