participant_number,subexperiment_number,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_subexperiment,answer_incorrect_subexperiment,feedback_score_subexperiment,trial_duration_1,trial_duration_2,trial_duration_3,trial_duration_4,trial_duration_mean,performance_subexperiment,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1
26,7,300.00520000000006,24.67599999999993,75.0,59.375,3,1,4,9.685999999999922,2.9449999999999363,7.858999999999924,7.319000000000187,6.952249999999992,10.787874429141658,6,2,8,9
26,8,300.00520000000006,17.028999999999996,50.0,59.375,2,2,5,7.155999999999949,3.0429999999998927,3.421000000000049,3.4090000000001055,4.257249999999999,11.744670855599274,6,2,8,9
27,1,300.00290000000007,95.71799999999985,75.0,90.625,3,1,4,27.794999999999845,19.93600000000015,27.14300000000003,15.983999999999924,22.714499999999987,3.301855642871296,3,2,5,2
27,2,300.00290000000007,124.80700000000002,100.0,90.625,4,0,5,21.276000000000067,27.736999999999853,43.875,38.932000000000016,32.954999999999984,3.034440904263391,3,2,5,2
27,3,300.00290000000007,142.36300000000006,100.0,90.625,4,0,6,50.31600000000003,31.962999999999965,23.256000000000085,40.281999999999925,36.45425,2.7431643772673966,3,2,5,2
27,4,300.00290000000007,98.53300000000013,75.0,90.625,3,1,6,19.207000000000107,39.65599999999995,22.88799999999992,20.024000000000115,25.443750000000023,2.947678703021368,3,2,5,2
27,5,300.00290000000007,126.40899999999988,100.0,90.625,4,0,6,20.34699999999998,36.975999999999885,27.616000000000213,44.41299999999978,32.337999999999965,3.0923371884470314,3,2,5,2
27,6,300.00290000000007,115.32500000000005,75.0,90.625,3,1,6,28.220000000000027,37.30000000000018,19.187999999999874,34.49800000000005,29.801500000000033,2.5166518463835685,3,2,5,2
27,7,300.00290000000007,114.34300000000007,100.0,90.625,4,0,7,22.473999999999933,25.15800000000013,46.09899999999993,22.376999999999953,29.026999999999987,3.4450683846074357,3,2,5,2
27,8,300.00290000000007,113.72600000000011,100.0,90.625,4,0,7,33.04600000000005,26.454999999999927,22.98700000000008,31.238000000000056,28.431500000000028,3.5172256124369063,3,2,5,2
28,1,300.0033000000001,122.1110000000001,100.0,84.375,4,0,7,28.336000000000013,17.57400000000007,29.03800000000001,21.138999999999896,24.021749999999997,4.162894043939347,4,2,6,3
28,2,300.0033000000001,73.65000000000009,75.0,84.375,3,1,5,16.391000000000076,10.858999999999924,26.28800000000001,23.411000000000058,19.237250000000017,3.898686142769883,4,2,6,3
28,3,300.0033000000001,82.77800000000002,75.0,84.375,3,1,6,27.833000000000084,16.50799999999981,16.578000000000202,25.163999999999987,21.52075000000002,3.485008654438155,4,2,6,3
28,4,300.0033000000001,76.33799999999997,75.0,84.375,3,1,7,31.09699999999998,17.227999999999838,11.097000000000207,19.04599999999982,19.616999999999962,3.8232145588010478,4,2,6,3
28,5,300.0033000000001,104.17000000000007,75.0,84.375,3,1,7,23.48700000000008,44.603000000000065,11.513999999999896,26.304000000000087,26.477000000000032,2.832647203232991,4,2,6,3
