participant_number,subexperiment_number,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_average_peak,O2Hb_difference_peak,O2Hb_auc,O2Hb_highest_peak_trial_1,O2Hb_highest_peak_trial_2,O2Hb_highest_peak_trial_3,O2Hb_highest_peak_trial_4,O2Hb_lowest_peak_trial_1,O2Hb_lowest_peak_trial_2,O2Hb_lowest_peak_trial_3,O2Hb_lowest_peak_trial_4,O2Hb_average_peak_trial_1,O2Hb_average_peak_trial_2,O2Hb_average_peak_trial_3,O2Hb_average_peak_trial_4,O2Hb_difference_peak_trial_1,O2Hb_difference_peak_trial_2,O2Hb_difference_peak_trial_3,O2Hb_difference_peak_trial_4,O2Hb_auc_peak_trial_1,O2Hb_auc_peak_trial_2,O2Hb_auc_peak_trial_3,O2Hb_auc_peak_trial_4
15.0,7.0,0.20867086609023763,-0.10919159733833375,-0.0005975501549889322,0.3178624634285714,0.12916113160486348,0.05768582166166623,0.20867086609023763,0.044876173090237656,0.04341953966166623,-0.09699215076690519,-0.09348840776690519,-0.10919159733833375,-0.04822483843833377,0.0,0.0,0.0,0.0,0.15467797242857143,0.3021592738571428,0.1540677704285714,0.0916443781,-0.020115790435636022,0.20207349217903617,-0.1734339103523542,0.100356964417501
15.0,8.0,0.21735813409023766,-0.14047484290976234,0.0013506871611266753,0.357832977,0.22429656318956948,0.21735813409023766,0.027098032090237655,0.07426775894738051,0.15361105266166625,-0.14047484290976234,-0.02616928390976234,-0.06910839862404806,-0.11652239733833378,0.0,0.0,0.0,0.0,0.357832977,0.053267315999999995,0.14337615757142858,0.27013345,0.13362895181637435,0.018588585148248724,-0.08818914840184523,0.014279805190016627
16.0,1.0,0.12722525826232087,-0.08084061173767916,0.0004870534892590804,0.20806587000000004,0.052671069097046636,0.10724601826232084,0.04007372159565418,0.06909883126232085,0.12722525826232087,-0.06621145140434581,-0.02966266075434582,-0.08084061173767916,-0.047317943404345815,0.0,0.0,0.0,0.0,0.17345746966666664,0.06973638235,0.149939443,0.17454320166666668,0.020905854551897005,0.012969891936705148,-0.17913370487311586,0.12922032861169114
16.0,2.0,0.12662139826232086,-0.0883915350710125,-0.0008050209844558694,0.21501293333333335,-0.05772410159338531,0.12662139826232086,0.037996315595654175,0.04692857992898752,0.031043573262320847,-0.0883915350710125,-0.0650255100710125,-0.03454863173767916,-0.039578136737679154,0.0,0.0,0.0,0.0,0.21501293333333335,0.10302182566666668,0.08147721166666667,0.07062171,0.033125523157980744,-0.10514120769507762,0.06010006333888537,-0.0910343419330431
16.0,3.0,0.06251726776232085,-0.07156880173767914,-0.0009211632646539604,0.1340860695,-0.02865091140503702,0.06251726776232085,0.04644922159565418,0.046741893262320845,0.04484324492898751,-0.07156880173767914,-0.05299390673767915,-0.05364676507101249,-0.05280557007101249,0.0,0.0,0.0,0.0,0.1340860695,0.09944312833333332,0.10038865833333332,0.097648815,-0.14685065632223845,0.056282365168822235,-0.04333847101495569,0.02051695387201613
16.0,4.0,0.06279057159565417,-0.05496130890434583,0.0003285241977012237,0.11775188049999999,0.01865978006160375,0.04496589826232084,0.05162111259565419,0.06279057159565417,0.03544922042898751,-0.017758224737679153,-0.05496130890434583,-0.043997216737679146,-0.022283026571012485,0.0,0.0,0.0,0.0,0.06272412299999999,0.10658242150000002,0.10678778833333331,0.057732246999999993,0.04746371981970013,-0.02872820630098251,-0.020164138215116312,-0.005679463726253563
16.0,5.0,0.05649060159565419,-0.056738608404345824,-0.0002748254690449885,0.11322921000000001,-0.010642246443434797,0.05649060159565419,0.05370845659565418,0.03318352659565418,0.04990028992898751,-0.056160201737679154,-0.056738608404345824,-0.029531015071012485,-0.03975445507101249,0.0,0.0,0.0,0.0,0.11265080333333334,0.11044706500000001,0.06271454166666666,0.08965474500000001,-0.048440967973281394,0.04808721460797229,-0.0032053065593709296,-0.002456048994579574
16.0,6.0,0.06106348826232085,-0.05876946673767915,-0.0009596302278559539,0.119832955,-0.023588881595384525,0.02138588236232085,0.027826104928987513,0.04178188159565418,0.06106348826232085,-0.03340851007101248,-0.03575474340434582,-0.03468677173767915,-0.05876946673767915,0.0,0.0,0.0,0.0,0.05479439243333333,0.06358084833333333,0.07646865333333333,0.119832955,-0.053926270666437924,-0.067396858272603,-0.020336206963357875,0.051821690170986104
16.0,7.0,0.07436726976232085,-0.07960798507101248,-0.0004923791833845491,0.15397525483333332,-0.08614226501655456,0.062460534595654184,0.06626488492898752,0.05410736159565418,0.07436726976232085,-0.05895709340434582,-0.03605070173767915,-0.06526708840434582,-0.07960798507101248,0.0,0.0,0.0,0.0,0.121417628,0.10231558666666668,0.11937445,0.15397525483333332,0.08806291018591793,0.040408109022453675,-0.03168439657516742,-0.05144353008107094
16.0,8.0,0.1217762415956542,-0.14330093840434582,0.001272381669141543,0.26507718,-0.04191229164577026,0.1217762415956542,0.011067174428987513,0.06673627692898751,0.09105548492898752,-0.07319090490434582,-0.015562635804345819,-0.14330093840434582,-0.08555694673767915,0.0,0.0,0.0,0.0,0.19496714650000002,0.026629810233333332,0.21003721533333333,0.17661243166666668,0.02861220147514621,-0.0022579958580919673,-0.07389894711983348,0.12374429330349976
