participant_number,subexperiment_number,duration_fixation,duration_saccade,count_fixations,count_saccades
20,3.0,305.2890397358074,35.42147034252297,178,239
20,4.0,347.31684892948414,46.97172759248791,148,181
20,5.0,293.69731603468256,34.528774189475286,243,323
20,6.0,298.59819138275645,52.5269916454733,157,222
20,7.0,291.9861611311213,39.27509971484177,228,299
20,8.0,256.03262141861404,43.40516156462585,226,325
21,1.0,328.3921552648265,26.13433704756897,210,440
21,2.0,321.1013368983981,24.550759013282732,178,448
21,3.0,299.1604018631871,25.327032193259235,150,366
21,4.0,328.36753555048983,26.824741466484586,142,384
21,5.0,323.09859871101946,27.41662560646222,207,525
21,6.0,322.7146358543335,26.96521339575787,144,408
21,7.0,307.8287065236293,25.257567401960785,153,378
21,8.0,313.7505158581055,27.814436269944743,194,416
22,1.0,358.14716553286166,25.033121085114225,150,193
22,2.0,348.1659589926581,23.17308344640434,161,181
22,3.0,396.65114755348685,22.912998654392098,168,279
22,4.0,347.8274484739676,22.338309041501976,132,187
22,5.0,333.4071662208974,23.97055563760785,189,295
22,6.0,317.4654491997248,22.604118701243937,158,290
22,7.0,286.95000000000005,24.89032681536919,180,400
22,8.0,287.70210652602736,23.68587576453796,186,470
23,1.0,326.4860305179479,29.249726902514812,177,432
23,2.0,277.00481791597144,29.83817401187963,124,301
23,3.0,324.06476109071997,79.62934173911185,163,392
23,4.0,262.4363919941137,28.96128701945541,148,328
23,5.0,316.34381606951035,28.26816440264716,190,461
23,6.0,258.8136500754002,29.6271756544312,148,336
23,7.0,260.1071761666991,28.84613460665401,274,617
23,8.0,239.39641118686,30.81574257841688,216,526
24,1.0,296.7479949954138,22.626477057098498,179,344
24,2.0,234.41507936507682,22.629123243587106,148,289
24,3.0,228.33788142979384,22.807403946651654,197,391
24,4.0,261.1232026901398,24.13313263838965,201,361
24,5.0,289.3432270273013,22.74637526318087,197,449
24,6.0,265.1901397515537,24.262669719125938,175,334
24,7.0,247.54985221373946,23.67932613571168,273,549
24,8.0,249.61217443167317,23.292344064135705,249,530
25,1.0,374.7524350649452,25.465234778121776,89,187
25,2.0,376.57060708896694,25.41901058428091,168,431
25,3.0,380.13482142856367,30.951799105252107,204,523
25,4.0,322.64276165009437,24.870171404682274,139,289
25,5.0,289.16689882698705,25.811026041143478,137,281
25,6.0,376.7057309941664,27.388249467120925,157,355
