participant_number,subexperiment_number,MRTScore,MRTAcc,MRTGroup,nback_hits_0,nback_hit_rate_0,nback_correct_rejections_0,nback_rt_target_0,nback_rt_nontarget_0,nback_composite_0,nback_hits_1,nback_hit_rate_1,nback_correct_rejections_1,nback_rt_target_1,nback_rt_nontarget_1,nback_composite_1,nback_hits_2,nback_hit_rate_2,nback_correct_rejections_2,nback_rt_target_2,nback_rt_nontarget_2,nback_composite_2,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_subexperiment,answer_incorrect_subexperiment,feedback_score_subexperiment,blink_count,rest_blink_rest_count,blink_rate,rest_blink_rate,normalized_blink_rate,nback_hits_avg,nback_hit_rate_avg,nback_rt_target_avg,nback_rt_non_target_avg,nback_composite_avg,trial_duration_1,trial_duration_2,trial_duration_3,trial_duration_4,trial_duration_mean,performance_subexperiment,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1,eye_avg_fixation_PointX,eye_avg_fixation_PointY,eye_avg_fixation_PointZ,eye_avg_LeftGazeX,eye_avg_LeftGazeY,eye_avg_LeftGazeZ,eye_avg_RightGazeX,eye_avg_RightGazeY,eye_avg_RightGazeZ,eye_avg_LeftPupilDiameter,eye_avg_RightPupilDiameter,eye_avg_RightEyeOpenness,eye_avg_LeftEyeOpenness,eye_max_LeftPupilDiameter,eye_max_RightPupilDiameter,cogload_subexperiment,cogload_mean,cogload_group,z_score,std_dev
10,5,0,0,Low,8,100,100,413.2961,,0.24195728,10,100,100,738.89935,,0.13533643,8,100,100,832.9409375,,0.120056532,300.0045,157.939,100,68.75,4,0,4,89,3,33.81052178,6,463.5086964,8.666666667,100,661.7121292,,0.165783414,44.011,37.563,45.729,33.789,40.273,2.483053162,1,1,7,1,0.088386152,-0.280693207,0.792516914,0.028802433,-0.193920726,0.868209528,0.065180761,-0.218092778,0.863642339,3.588751634,4.132707492,0.802720815,0.827115387,5.070648,5.440338,4,4,Low,0,1.187734939
10,6,0,0,Low,8,100,100,413.2961,,0.24195728,10,100,100,738.89935,,0.13533643,8,100,100,832.9409375,,0.120056532,300.0045,116.292,50,68.75,2,2,6,79,3,40.75946755,6,579.3244591,8.666666667,100,661.7121292,,0.165783414,35.674,26.463,26.263,31.959,30.08975,1.661695428,1,1,7,1,0.077888274,-0.235372558,0.817267051,0.001888214,-0.175702141,0.858406234,0.031187092,-0.202878774,0.855787874,3.410042099,4.068701765,0.806927753,0.830877082,4.792343,5.605515,4,4,High,1.683877382,1.187734939
10,7,0,0,Low,8,100,100,413.2961,,0.24195728,10,100,100,738.89935,,0.13533643,8,100,100,832.9409375,,0.120056532,300.0045,104.906,75,68.75,3,1,3,67,3,38.32001983,6,538.6669971,8.666666667,100,661.7121292,,0.165783414,23.709,18.714,31.996,33.694,27.02825,2.774874437,1,1,7,1,-0.087125728,-0.225644767,0.794597306,-0.089886261,-0.149957037,0.856368342,-0.058354053,-0.176147463,0.857107147,3.430160977,4.007182837,0.744842363,0.776847183,5.018784,5.484024,4,4,Low,-0.841938691,1.187734939
10,8,0,0,Low,8,100,100,413.2961,,0.24195728,10,100,100,738.89935,,0.13533643,8,100,100,832.9409375,,0.120056532,300.0045,138.315,75,68.75,3,1,4,79,3,34.269602,6,471.1600333,8.666666667,100,661.7121292,,0.165783414,26.845,26.144,47.689,37.637,34.57875,2.168962152,1,1,7,1,-0.021993739,-0.161631804,0.808520152,-0.054604693,-0.119317213,0.870156784,-0.021749697,-0.140829937,0.86641069,3.481440948,4.018170393,0.779830552,0.821368999,4.983551,5.553864,4,4,Low,0,1.187734939
15,1,0,0,Low,7,87.5,100,415.6692286,,0.210503915,10,100,100,482.19574,,0.207384661,8,100,96.875,677.1924125,834.154,0.147668518,300.0025,174.074,75,62.5,3,1,7,63,23,21.71490286,46,-52.79368944,8.333333333,95.83333333,525.019127,,0.188519031,50.619,18.801,39.916,37.218,36.6385,2.047027034,2,1,6,3,-0.094024193,-0.151915699,0.650315992,-0.108075156,-0.161483578,0.820026488,-0.082616715,-0.148293321,0.827431523,2.688888281,3.273406328,0.859961774,0.895071199,4.114914,4.456802,5,3.5,High,3.82043776,0.916125381
15,2,0,0,Low,7,87.5,100,415.6692286,,0.210503915,10,100,100,482.19574,,0.207384661,8,100,96.875,677.1924125,834.154,0.147668518,300.0025,105.143,50,62.5,2,2,8,43,23,24.53801014,46,-46.6564997,8.333333333,95.83333333,525.019127,,0.188519031,50.085,13.328,17.103,32.163,28.16975,1.774953629,2,1,6,3,-0.236912226,-0.04871327,0.808252508,-0.17030506,-0.096053614,0.87691363,-0.157710937,-0.082023701,0.883975438,2.829937466,3.29018826,0.86636346,0.891507184,3.925079,4.482498,5,3.5,High,4.911991406,0.916125381
15,3,0,0,Low,7,87.5,100,415.6692286,,0.210503915,10,100,100,482.19574,,0.207384661,8,100,96.875,677.1924125,834.154,0.147668518,300.0025,167.783,75,62.5,3,1,9,59,23,21.09868103,46,-54.1333021,8.333333333,95.83333333,525.019127,,0.188519031,47.267,31.154,43.05,50.22,42.92275,1.747325136,2,1,6,3,-0.190730553,-0.004110798,0.796967848,-0.174273641,-0.059853017,0.881809231,-0.15233288,-0.049743696,0.886143647,2.807892538,3.303011274,0.901096777,0.915738634,4.010498,4.486618,5,3.5,High,6.003545052,0.916125381
15,4,0,0,Low,7,87.5,100,415.6692286,,0.210503915,10,100,100,482.19574,,0.207384661,8,100,96.875,677.1924125,834.154,0.147668518,300.0025,127.36,100,62.5,4,0,7,68,23,32.03517588,46,-30.35831331,8.333333333,95.83333333,525.019127,,0.188519031,39.221,42.199,31.203,19.109,32.933,3.03646798,2,1,6,3,-0.084052215,-0.122187943,0.78322334,-0.116647208,-0.123114379,0.880880241,-0.093841935,-0.108649721,0.885581927,2.898328147,3.46580088,0.885867682,0.918835028,4.012375,4.655914,5,3.5,High,3.82043776,0.916125381
15,5,0,0,Low,7,87.5,100,415.6692286,,0.210503915,10,100,100,482.19574,,0.207384661,8,100,96.875,677.1924125,834.154,0.147668518,300.0025,151.724,75,62.5,3,1,9,43,23,17.00456091,46,-63.03356323,8.333333333,95.83333333,525.019127,,0.188519031,50.237,32.533,31.153,40.893,38.704,1.937784208,2,1,6,3,0.0215933,-0.036504497,0.802725723,-0.061902537,-0.079160537,0.89970184,-0.039916707,-0.063449501,0.902373593,2.951225499,3.541254033,0.924535877,0.934926453,4.250336,4.645981,5,3.5,High,6.003545052,0.916125381
15,6,0,0,Low,7,87.5,100,415.6692286,,0.210503915,10,100,100,482.19574,,0.207384661,8,100,96.875,677.1924125,834.154,0.147668518,300.0025,121.988,50,62.5,2,2,9,34,23,16.72295636,46,-63.64574705,8.333333333,95.83333333,525.019127,,0.188519031,11.323,36.599,25.606,51.003,31.13275,1.606025809,2,1,6,3,-0.089652932,-0.106210376,0.791844578,-0.098311805,-0.115407573,0.889776434,-0.086735289,-0.100326636,0.893586852,2.899458989,3.429346978,0.915305762,0.925932218,3.997696,4.462708,5,3.5,High,6.003545052,0.916125381
15,7,0,0,Low,7,87.5,100,415.6692286,,0.210503915,10,100,100,482.19574,,0.207384661,8,100,96.875,677.1924125,834.154,0.147668518,300.0025,129.425,25,62.5,1,3,9,55,23,25.49739231,46,-44.57088628,8.333333333,95.83333333,525.019127,,0.188519031,21.058,43.127,31.538,35.581,32.826,0.761591421,2,1,6,3,-0.23885572,-0.032385438,0.777602269,-0.179804296,-0.077333784,0.878509948,-0.16691379,-0.062586948,0.881381068,2.886702081,3.407244096,0.909844172,0.916936023,4.004593,4.415848,5,3.5,High,6.003545052,0.916125381
15,8,0,0,Low,7,87.5,100,415.6692286,,0.210503915,10,100,100,482.19574,,0.207384661,8,100,96.875,677.1924125,834.154,0.147668518,300.0025,126.256,50,62.5,2,2,9,47,23,22.33557217,46,-51.44440832,8.333333333,95.83333333,525.019127,,0.188519031,17.461,33.152,37.113,38.53,31.564,1.584083133,2,1,6,3,-0.146573853,-0.047659704,0.793292825,-0.148725868,-0.087631758,0.880677128,-0.128337102,-0.074839504,0.885623326,2.816782576,3.38733386,0.898501505,0.913552607,4.132767,4.462585,5,3.5,High,6.003545052,0.916125381
16,1,9,37.5,Low,8,100,100,493.83675,,0.202496068,9,90,100,545.0597,,0.165119527,8,100,100,511.578625,,0.195473374,300.006,132.405,75,68.75,3,1,3,71,12,32.17401156,24,34.05838148,8.333333333,96.66666667,516.825025,,0.187696323,22.014,17.746,39.093,19.004,24.46425,3.065697906,1,1,5,2,0.025072053,-0.21977244,0.768365598,0.015612515,-0.156922404,0.850808988,0.025684466,-0.163115127,0.854245967,3.308230562,3.821958769,0.931922882,0.949853414,4.6931,5.113861,3,3,Low,0,1.772810521
16,2,9,37.5,Low,8,100,100,493.83675,,0.202496068,9,90,100,545.0597,,0.165119527,8,100,100,511.578625,,0.195473374,300.006,54.614,100,68.75,4,0,2,27,12,29.66272384,24,23.59468268,8.333333333,96.66666667,516.825025,,0.187696323,20.013,9.213,12.41,17.602,14.8095,6.752422432,1,1,5,2,0.073053025,-0.221767461,0.886700706,0.029266234,-0.108576753,0.906802462,0.023818922,-0.129478066,0.9131194,3.789657737,4.233364994,0.958760831,0.966286383,4.643799,5.164566,3,3,Low,-0.564076075,1.772810521
