S1-D1 [O2Hb],S1-D1 [HHb],S1-D1 [deltaHb],S2-D1 [O2Hb],S2-D1 [HHb],S2-D1 [deltaHb],S3-D1 [O2Hb],S3-D1 [HHb],S3-D1 [deltaHb],S4-D1 [O2Hb],S4-D1 [HHb],S4-D1 [deltaHb],S5-D2 [O2Hb],S5-D2 [HHb],S5-D2 [deltaHb],S6-D2 [O2Hb],S6-D2 [HHb],S6-D2 [deltaHb],S8-D2 [O2Hb],S8-D2 [HHb],S8-D2 [deltaHb],times_secs,stimulus1
0.004650288,-0.0006113163,0.0052616043,-0.0162674,-0.001194194,-0.015073206000000002,-0.005385243,0.0002795224,-0.0056647654,-0.02742189,-0.002688106,-0.024733784,-0.02512673,0.003682558,-0.028809288,-0.006801805,-0.003694973,-0.0031068320000000003,-0.01195328,-0.001858538,-0.010094742,809.6,LSL RunningTrial 0_A1_CI_NSI_R180x
0.005388387,-0.0007207916,0.0061091786,-0.01115905,-0.0006364689,-0.010522581100000001,-0.002728734,0.0002643047,-0.0029930387,-0.02988738,-0.002927035,-0.026960345,-0.02106677,0.00361088,-0.02467765,-0.01087597,-0.003184085,-0.007691885000000001,-0.01032476,-0.001802924,-0.008521836000000001,809.64,LSL RunningTrial 0_A1_CI_NSI_R180x
0.006071188,-0.0008240988,0.0068952868,-0.006524246,-0.0001439986,-0.0063802474000000005,-0.000383643,0.0002597625,-0.0006434055000000001,-0.03188795,-0.003142598,-0.028745352,-0.01737018,0.003542448,-0.020912628,-0.01447447,-0.002713597,-0.011760873,-0.008817445,-0.001743405,-0.00707404,809.68,LSL RunningTrial 0_A1_CI_NSI_R180x
0.006687811,-0.000919439,0.00760725,-0.002405971,0.0002746432,-0.0026806141999999996,0.001610168,0.00026487,0.001345298,-0.03339982,-0.003334102,-0.030065717999999998,-0.01408872,0.003477738,-0.017566458,-0.01754626,-0.002291112,-0.015255148000000001,-0.007452816,-0.001683444,-0.005769372,809.72,LSL RunningTrial 0_A1_CI_NSI_R180x
0.007229707,-0.001005328,0.008235035,0.001170464,0.0006134477,0.0005570163,0.003224624,0.0002785473,0.0029460767,-0.03441498,-0.003501549,-0.030913430999999998,-0.01125862,0.003417041,-0.014675661,-0.02005907,-0.00192234,-0.018136729999999997,-0.006247031,-0.001626114,-0.004620917,809.76,LSL RunningTrial 0_A1_CI_NSI_R180x
0.007690779,-0.00108063,0.008771409,0.004196948,0.0008689987,0.0033279493,0.00444353,0.0002997013,0.0041438287,-0.03494048,-0.003645581,-0.031294899,-0.008900549,0.00336047,-0.012261019000000001,-0.02199918,-0.001611073,-0.020388107,-0.005210782,-0.001574043,-0.003636739,809.8,LSL RunningTrial 0_A1_CI_NSI_R180x
0.008067435,-0.001144572,0.009212007,0.006681543,0.001040414,0.005641129,0.00526227,0.0003272609,0.0049350091,-0.03499738,-0.00376741,-0.031229970000000003,-0.007020116,0.003307964,-0.01032808,-0.02337056,-0.001359217,-0.022011343,-0.004349318,-0.001529382,-0.0028199359999999994,809.84,LSL RunningTrial 0_A1_CI_NSI_R180x
0.008358533,-0.001196753,0.009555286,0.008646979,0.001129206,0.007517773000000001,0.005687163,0.0003602035,0.005326959500000001,-0.03461907,-0.003868727,-0.030750343000000003,-0.005608839,0.003259309,-0.008868148,-0.02419341,-0.00116689,-0.023026519999999998,-0.003662645,-0.001493785,-0.00216886,809.88,LSL RunningTrial 0_A1_CI_NSI_R180x
0.008565267,-0.001237135,0.009802402,0.01012878,0.00113908,0.0089897,0.005734529,0.0003975729,0.0053369561,-0.03384943,-0.00395161,-0.02989782,-0.004645538,0.003214157,-0.007859695,-0.02450226,-0.001032558,-0.023469702000000002,-0.003145888,-0.001468416,-0.001677472,809.92,LSL RunningTrial 0_A1_CI_NSI_R180x
0.008690964,-0.001266021,0.009956985000000002,0.01117307,0.001075666,0.010097404,0.005429506,0.0004384887,0.0049910173,-0.03274062,-0.004018414,-0.028722206,-0.004098041,0.00317205,-0.007270091,-0.02434369,-0.0009532212,-0.0233904688,-0.002789794,-0.001453963,-0.001335831,809.96,LSL RunningTrial 0_A1_CI_NSI_R180x
